Feature dims,kernel,stride,padding,input channels,output channels,mean time,std deviation
224,3,1,1,3,3,1541.4666,1605.578074175824
224,3,1,1,3,6,916.9680000000001,694.7485246228913
224,3,1,1,3,12,1001.5199,716.5135411888892
224,3,1,1,3,18,1752.0328,556.3243514386568
224,3,1,1,3,24,1003.7858,113.00907633069032
224,3,1,1,16,16,1438.20975,65.47794919213564
224,3,1,1,16,32,1740.81925,137.91652636358475
224,3,1,1,16,64,3154.1576,503.40245247341875
224,3,1,1,16,96,6429.92035,426.5347937589338
224,3,1,1,16,128,7651.37995,590.8853915195467
224,3,1,1,24,24,1782.8016,170.1240384881448
224,3,1,1,24,48,3164.17685,1129.0132895772902
224,3,1,1,24,96,4295.38185,601.9520090372894
224,3,1,1,24,144,9031.02195,293.85736142100194
224,3,1,1,24,192,12416.53955,3932.85608693759
224,3,1,1,32,32,2139.161,313.841942940945
224,3,1,1,32,64,3624.04375,96.25720614220337
224,3,1,1,32,128,5943.78675,731.7190702697367
224,3,1,1,32,192,12678.875900000001,580.8094092071584
224,3,1,1,32,256,19442.97295,4837.144179879721
224,3,1,1,40,40,5152.76015,892.8328412902074
224,3,1,1,40,80,6296.68545,708.2020433780829
224,3,1,1,40,160,18620.13815,2723.283715816031
224,3,1,1,40,240,24160.7526,2784.604694291499
224,3,1,1,40,320,32693.0828,1139.6683710255184
224,3,1,1,48,48,5688.6865,648.92246552456
224,3,1,1,48,96,10640.8769,838.4033752117238
224,3,1,1,48,192,25854.8754,1779.4418684227753
224,3,1,1,48,288,36201.99835,4287.749253731603
224,3,1,1,48,384,48365.0914,6885.220016410569
224,3,1,1,56,56,8395.56195,2977.870370614128
224,3,1,1,56,112,15825.63355,2671.540571355973
224,3,1,1,56,224,30300.4362,1829.3165693197423
224,3,1,1,56,336,46317.034,3914.215232534507
224,3,1,1,56,448,59403.748250000004,9033.867730782235
224,3,1,1,64,64,10055.7654,1972.2205073350406
224,3,1,1,64,128,18179.1394,3307.714609077732
224,3,1,1,64,256,37920.4183,4062.0725097666345
224,3,1,1,64,384,56734.14665,8762.340664090583
224,3,1,1,64,512,78370.3238,8177.993599166111
224,3,1,1,72,72,11749.6475,1849.3968228191388
224,3,1,1,72,144,17832.1307,4754.735341616089
224,3,1,1,72,288,33062.72225,2792.667551305456
224,3,1,1,72,432,48075.872,4549.549072394017
224,3,1,1,72,576,58620.7455,5834.867356652434
224,3,1,1,80,80,10414.49015,2030.8493481789512
224,3,1,1,80,160,20589.487699999998,2681.2954721690644
224,3,1,1,80,320,38641.99255,3671.5657827226714
224,3,1,1,80,480,53326.80075,7473.772000503802
224,3,1,1,80,640,69131.81925,8321.50064648351
224,3,1,1,88,88,11206.8936,2176.399996230458
224,3,1,1,88,176,35344.5927,7758.202499027439
224,3,1,1,88,352,77812.088,9000.577628448349
224,3,1,1,88,528,80626.4808,16006.32324595503
224,3,1,1,88,704,89970.36455,12971.191816416795
224,3,1,1,96,96,12014.2496,2438.625166719115
224,3,1,1,96,192,26666.2114,3275.110348154947
224,3,1,1,96,384,50419.80005,5902.211814246396
224,3,1,1,96,576,71747.81165,8509.493917722199
224,3,1,1,96,768,139303.38994999998,22210.355034362117
224,3,1,1,104,104,16951.8268,3234.4619089881917
224,3,1,1,104,208,33097.7219,3452.9462087436186
224,3,1,1,104,416,97052.35704999999,12329.094403624022
224,3,1,1,104,624,132760.5811,14448.9842167077
224,3,1,1,104,832,197192.3249,5599.8793624092705
224,3,1,1,112,112,27200.42325,5057.564882440944
224,3,1,1,112,224,54993.21545,7701.110954195203
224,3,1,1,112,448,102516.3429,9145.709896479339
224,3,1,1,112,672,168983.8896,9623.698048475957
224,3,1,1,112,896,219300.4968,13784.412678616996
224,3,1,1,120,120,30214.45965,2688.637816777137
224,3,1,1,120,240,58421.18355,13176.618308782856
224,3,1,1,120,480,118343.249,10446.305322666232
224,3,1,1,120,720,175779.68409999998,16712.057098404886
224,3,1,1,120,960,205478.33515,33796.22317078268
224,3,1,1,240,240,74156.9843,9007.47705824957
224,3,1,1,240,480,149009.7163,18194.372996180457
224,3,1,1,240,960,305624.47475,36287.31421624973
224,3,1,1,240,1440,442603.60894999997,63374.26612808969
224,3,1,1,240,1920,552130.68475,34998.269844962466
224,3,1,1,360,360,184448.40645,44904.1299156967
224,3,1,1,360,720,393257.52175,62726.42066710547
224,3,1,1,360,1440,736911.5724000001,102485.82110936976
224,3,1,1,360,2160,1026895.518,132863.28720983618
224,3,1,1,360,2880,1207624.5402,141128.81055915
112,3,1,1,3,3,1081.1016,154.98320800362453
112,3,1,1,3,6,1052.7213000000002,128.9554133012443
112,3,1,1,3,12,1741.3757,350.8285044806305
112,3,1,1,3,18,967.78865,259.3709381454484
112,3,1,1,3,24,584.23895,27.403505337581226
112,3,1,1,16,16,797.1481,35.75730522181887
112,3,1,1,16,32,1150.99935,670.2389033644547
112,3,1,1,16,64,1322.7094,93.66780002776892
112,3,1,1,16,96,1670.2964,179.70936451140972
112,3,1,1,16,128,1803.8545,69.58423782838967
112,3,1,1,24,24,991.6759,24.033782429825916
112,3,1,1,24,48,1503.6481,16.29917792857569
112,3,1,1,24,96,1960.42135,29.338455440051604
112,3,1,1,24,144,2744.2013,83.04243782174832
112,3,1,1,24,192,3247.3076,218.2142830282102
112,3,1,1,32,32,1229.34505,29.79164660998464
112,3,1,1,32,64,1744.8479,30.352426724971032
112,3,1,1,32,128,2443.331,278.89423553798275
112,3,1,1,32,192,2817.76015,187.5938905753246
112,3,1,1,32,256,3015.71945,209.2197920527031
112,3,1,1,40,40,1435.3851,38.45898891423516
112,3,1,1,40,80,1798.75255,37.20208927278851
112,3,1,1,40,160,2442.3081,41.24145845333179
112,3,1,1,40,240,3644.97095,281.64711454574626
112,3,1,1,40,320,6296.6997,1347.0515113784468
112,3,1,1,48,48,1680.0031000000001,185.6237858947075
112,3,1,1,48,96,2345.49165,252.2447380831967
112,3,1,1,48,192,4697.92715,546.3068279292638
112,3,1,1,48,288,4311.5064,63.912326997635056
112,3,1,1,48,384,5508.37735,71.16875682730965
112,3,1,1,56,56,1740.20485,50.21652243223182
112,3,1,1,56,112,2523.3162,26.475767342589915
112,3,1,1,56,224,3819.12645,87.71206573812971
112,3,1,1,56,336,5847.03895,73.98648813944271
112,3,1,1,56,448,7100.24385,81.33044609187033
112,3,1,1,64,64,1751.2154,81.43056377992109
112,3,1,1,64,128,2659.47915,39.18946320293516
112,3,1,1,64,256,4679.78555,47.26172773138178
112,3,1,1,64,384,6829.43485,89.48987687605845
112,3,1,1,64,512,8809.7427,183.91513256651257
112,3,1,1,72,72,2453.1508,104.85841508112884
112,3,1,1,72,144,3545.93505,26.01834360898598
112,3,1,1,72,288,5862.00655,23.846397120507483
112,3,1,1,72,432,8688.31735,26.073928321873844
112,3,1,1,72,576,11131.95285,295.38286440523143
112,3,1,1,80,80,2626.9808,78.54723408283164
112,3,1,1,80,160,3787.6386,59.68706923825826
112,3,1,1,80,320,6922.37675,14.325144988243952
112,3,1,1,80,480,10109.589,74.6573068916618
112,3,1,1,80,640,16164.67165,410.7607757305532
112,3,1,1,88,88,2868.56565,73.06617031537408
112,3,1,1,88,176,4875.17235,28.128772456751133
112,3,1,1,88,352,8239.69415,65.30405203457325
112,3,1,1,88,528,12381.8647,21.02428915151014
112,3,1,1,88,704,20501.65695,2909.3208808197737
112,3,1,1,96,96,2994.0558,77.63166351065513
112,3,1,1,96,192,5102.5963,41.31797248566679
112,3,1,1,96,384,9557.52935,52.72049491149694
112,3,1,1,96,576,14635.53275,1561.8301830224318
112,3,1,1,96,768,23922.09885,3742.4763191552765
112,3,1,1,104,104,4012.1197,351.44080655766965
112,3,1,1,104,208,6486.18245,528.2824618575374
112,3,1,1,104,416,11027.84725,36.798792947702935
112,3,1,1,104,624,17289.76195,1544.7958954000317
112,3,1,1,104,832,25473.7447,858.1550508420959
112,3,1,1,112,112,4260.6893,474.20212997436147
112,3,1,1,112,224,6819.90855,757.6355395143554
112,3,1,1,112,448,14106.0864,2429.725717468178
112,3,1,1,112,672,23600.48795,3079.990389347095
112,3,1,1,112,896,29424.53105,890.7996115103543
112,3,1,1,120,120,5809.8195000000005,850.0881026991138
112,3,1,1,120,240,8316.03185,1054.4324783790357
112,3,1,1,120,480,14344.3369,27.632566853928754
112,3,1,1,120,720,24731.2131,750.9294107774149
112,3,1,1,120,960,37301.33875,7569.850546417822
112,3,1,1,240,240,17658.8908,4542.96094744361
112,3,1,1,240,480,28655.83915,4271.5797012477005
112,3,1,1,240,960,60626.13075,8524.438960283414
112,3,1,1,240,1440,92226.26819999999,12587.065184750316
112,3,1,1,240,1920,119525.6084,12804.958726728293
112,3,1,1,360,360,52772.7158,24606.450846119435
112,3,1,1,360,720,116036.35665,9832.547523499195
112,3,1,1,360,1440,144000.5291,37596.17721545525
112,3,1,1,360,2160,187218.77915000002,9699.077667663894
112,3,1,1,360,2880,331997.00645,85089.42472310718
56,3,1,1,3,3,328.76495,106.01745728167155
56,3,1,1,3,6,352.80855,56.71575284510329
56,3,1,1,3,12,693.6957,141.32567170531294
56,3,1,1,3,18,959.0214,91.89819036268798
56,3,1,1,3,24,470.0692,7.022601172005476
56,3,1,1,16,16,644.2391,16.221813276865007
56,3,1,1,16,32,718.27175,21.307301258822296
56,3,1,1,16,64,784.93,45.023031212691
56,3,1,1,16,96,774.36025,42.50542291083512
56,3,1,1,16,128,802.28085,33.3203655414886
56,3,1,1,24,24,716.89055,25.515439442516676
56,3,1,1,24,48,861.8076,44.471047054767766
56,3,1,1,24,96,819.2999,57.888769892559374
56,3,1,1,24,144,990.39325,9.247975396496829
56,3,1,1,24,192,958.0439,84.41298276294259
56,3,1,1,32,32,732.11905,38.89971107655523
56,3,1,1,32,64,788.3819,44.13845841738424
56,3,1,1,32,128,900.0835999999999,23.230057591971548
56,3,1,1,32,192,1025.5047,8.426886476910449
56,3,1,1,32,256,1122.92605,52.9463468124746
56,3,1,1,40,40,866.8136,26.388406201049342
56,3,1,1,40,80,993.8142,33.58568006034398
56,3,1,1,40,160,1044.66075,17.480504382326206
56,3,1,1,40,240,1331.18395,24.425955165237838
56,3,1,1,40,320,1380.2609,34.71719557540689
56,3,1,1,48,48,942.227,22.74655380260353
56,3,1,1,48,96,958.54555,41.394772036390485
56,3,1,1,48,192,1197.0092,34.18080335140422
56,3,1,1,48,288,1460.4113499999999,9.49834312573566
56,3,1,1,48,384,1699.36175,54.841845475373425
56,3,1,1,56,56,986.2514,31.67531472763507
56,3,1,1,56,112,1168.12405,11.147754017242574
56,3,1,1,56,224,1411.18,49.463028641815384
56,3,1,1,56,336,1873.1526999999999,36.8876410655242
56,3,1,1,56,448,2064.4058,24.20147808796203
56,3,1,1,64,64,905.58815,26.9298454512637
56,3,1,1,64,128,1141.13695,32.184217479796516
56,3,1,1,64,256,1574.36785,53.264480546830484
56,3,1,1,64,384,2038.90795,27.076758481019752
56,3,1,1,64,512,2466.65535,53.851959596144134
56,3,1,1,72,72,1157.3730500000001,26.701015152148468
56,3,1,1,72,144,1444.05575,26.388152808001205
56,3,1,1,72,288,1870.09675,32.391321836297905
56,3,1,1,72,432,2571.5436,22.42802730232165
56,3,1,1,72,576,2979.9892,63.11350941263636
56,3,1,1,80,80,1236.3626,31.24462072337201
56,3,1,1,80,160,1424.18195,48.55652472875514
56,3,1,1,80,320,2140.32595,190.0042799585744
56,3,1,1,80,480,2831.29745,48.87325198540555
56,3,1,1,80,640,3492.54205,40.943636046174184
56,3,1,1,88,88,1311.32215,61.40799377011967
56,3,1,1,88,176,1737.5430999999999,35.266988118307495
56,3,1,1,88,352,2428.77925,24.746311912080973
56,3,1,1,88,528,3426.34615,50.688105925796265
56,3,1,1,88,704,4196.8102,316.64359679641166
56,3,1,1,96,96,1253.30905,53.31209226262295
56,3,1,1,96,192,1723.87135,42.47156646420853
56,3,1,1,96,384,2715.8858,45.06595368965236
56,3,1,1,96,576,3750.7088,54.884210670330894
56,3,1,1,96,768,4786.30015,64.63470015912917
56,3,1,1,104,104,1514.308,18.899757124588167
56,3,1,1,104,208,2109.94825,27.872485668760568
56,3,1,1,104,416,3113.53935,47.368270094158575
56,3,1,1,104,624,4727.8574,1026.3087685955152
56,3,1,1,104,832,12050.51685,2512.6313040108134
56,3,1,1,112,112,2563.75365,116.72610634178264
56,3,1,1,112,224,3448.3094,113.27992846015069
56,3,1,1,112,448,6134.89345,154.15023027023273
56,3,1,1,112,672,9681.6396,2737.086145732766
56,3,1,1,112,896,12008.5051,549.9747063255584
56,3,1,1,120,120,2309.65965,48.338214930430816
56,3,1,1,120,240,3970.89275,29.077558096046257
56,3,1,1,120,480,7644.16845,1793.355551462837
56,3,1,1,120,720,9774.50975,254.51548414624477
56,3,1,1,120,960,12633.64885,732.6598071908792
56,3,1,1,240,240,8239.7231,2540.2887141425667
56,3,1,1,240,480,13642.05425,1252.9067933855958
56,3,1,1,240,960,23052.1522,3446.6229567614305
56,3,1,1,240,1440,30641.915100000002,6747.0512004755865
56,3,1,1,240,1920,40109.18215,6331.779593216655
56,3,1,1,360,360,14477.16695,896.5536408676853
56,3,1,1,360,720,25288.29485,5942.758351109873
56,3,1,1,360,1440,33327.0189,4083.917662598138
56,3,1,1,360,2160,50865.8644,7953.586856399732
56,3,1,1,360,2880,67837.3555,10604.676647482085
28,3,1,1,3,3,304.18845,49.38722979675383
28,3,1,1,3,6,272.7417,19.357276994507917
28,3,1,1,3,12,349.1872,24.916795617667848
28,3,1,1,3,18,351.08910000000003,33.07447221665867
28,3,1,1,3,24,443.12104999999997,19.412677638662625
28,3,1,1,16,16,567.4614,8.551020397097595
28,3,1,1,16,32,641.32865,8.13117190540595
28,3,1,1,16,64,684.46845,16.077289639589846
28,3,1,1,16,96,688.8856499999999,43.370309950320205
28,3,1,1,16,128,698.2479500000001,11.274540912464758
28,3,1,1,24,24,621.6418,10.183038821594737
28,3,1,1,24,48,769.39605,10.170984848422604
28,3,1,1,24,96,684.96225,14.909964495262905
28,3,1,1,24,144,780.1474499999999,12.19374887509772
28,3,1,1,24,192,705.0213,41.890468530379756
28,3,1,1,32,32,669.31035,8.19261910614799
28,3,1,1,32,64,671.84505,10.581194119633603
28,3,1,1,32,128,681.04905,16.48223345709587
28,3,1,1,32,192,713.98085,26.926191708514665
28,3,1,1,32,256,751.2810999999999,64.2484520894022
28,3,1,1,40,40,722.0098,10.132083640854091
28,3,1,1,40,80,758.7864,41.29843850546259
28,3,1,1,40,160,721.0859,47.47260058835047
28,3,1,1,40,240,847.81855,58.740283410132
28,3,1,1,40,320,823.6218,124.2841376124208
28,3,1,1,48,48,752.13355,36.34108137236917
28,3,1,1,48,96,696.4648500000001,37.28574370746036
28,3,1,1,48,192,768.0406,50.975165938554426
28,3,1,1,48,288,823.98125,46.6797681700316
28,3,1,1,48,384,894.8699,105.88027310818175
28,3,1,1,56,56,773.12265,37.471672350801065
28,3,1,1,56,112,798.64955,32.61875937082993
28,3,1,1,56,224,806.27325,14.821898908372031
28,3,1,1,56,336,982.7403,36.89052754198992
28,3,1,1,56,448,1076.84355,324.43451006011173
28,3,1,1,64,64,685.2905000000001,35.992119054768544
28,3,1,1,64,128,738.6548,33.30334178205892
28,3,1,1,64,256,849.20005,42.967755123648125
28,3,1,1,64,384,978.2042,46.586424851926694
28,3,1,1,64,512,1158.971,370.5932752448929
28,3,1,1,72,72,787.3856999999999,32.711903301236916
28,3,1,1,72,144,882.4225,7.421424579517969
28,3,1,1,72,288,929.9642,18.361582277880306
28,3,1,1,72,432,1173.40535,35.67172943777153
28,3,1,1,72,576,1217.87365,28.7231793289982
28,3,1,1,80,80,841.51385,49.61559695061413
28,3,1,1,80,160,829.47225,29.218612153854398
28,3,1,1,80,320,998.91025,34.32334496623329
28,3,1,1,80,480,1190.9212,16.393196418026612
28,3,1,1,80,640,1340.0081,16.780451768901262
28,3,1,1,88,88,871.65485,24.350633691689445
28,3,1,1,88,176,972.54825,3.5054398609049104
28,3,1,1,88,352,1079.137,12.453392701969769
28,3,1,1,88,528,1387.6053,15.612292559323123
28,3,1,1,88,704,1513.31655,20.026158560282532
28,3,1,1,96,96,797.0472,30.619889507174566
28,3,1,1,96,192,919.1945,23.238272765101627
28,3,1,1,96,384,1161.8715,36.85301730059416
28,3,1,1,96,576,1436.4233,63.873308576719616
28,3,1,1,96,768,1669.8294,41.7321968311985
28,3,1,1,104,104,882.68685,38.456635627917585
28,3,1,1,104,208,1084.70525,69.4157667914862
28,3,1,1,104,416,1271.7928,38.52637264278233
28,3,1,1,104,624,1655.8025,43.5455615400939
28,3,1,1,104,832,1892.21625,67.271143716561
28,3,1,1,112,112,923.80895,8.0808927495016
28,3,1,1,112,224,1025.36355,28.792480269160556
28,3,1,1,112,448,1367.11755,29.282088240667033
28,3,1,1,112,672,1724.32595,39.891118439645076
28,3,1,1,112,896,2055.81705,50.22273686549275
28,3,1,1,120,120,960.1729,35.50889634251052
28,3,1,1,120,240,1149.14735,45.846545878357276
28,3,1,1,120,480,1500.7455,16.30717047804431
28,3,1,1,120,720,2003.5084,29.416659052849326
28,3,1,1,120,960,2312.05515,56.62955737559021
28,3,1,1,240,240,1601.1045,40.16788228698461
28,3,1,1,240,480,2342.2747,41.85988869663574
28,3,1,1,240,960,4025.5104,415.7934276747479
28,3,1,1,240,1440,7288.5355,2235.8823515577988
28,3,1,1,240,1920,9073.143250000001,2075.1081749067766
28,3,1,1,360,360,2725.43575,56.6402619770508
28,3,1,1,360,720,4610.96145,182.2804466256598
28,3,1,1,360,1440,9926.7612,2135.2992920196803
28,3,1,1,360,2160,14718.025300000001,2441.2380989770036
28,3,1,1,360,2880,19011.26175,3503.6442697151306
14,3,1,1,3,3,269.7773,30.51438351628536
14,3,1,1,3,6,268.0414,4.096991931186895
14,3,1,1,3,12,295.1648,5.814676400463344
14,3,1,1,3,18,317.3609,9.998490101273454
14,3,1,1,3,24,439.58615,13.024032976628867
14,3,1,1,16,16,562.9737,5.324552554465325
14,3,1,1,16,32,617.4001,5.667196409810423
14,3,1,1,16,64,633.40345,5.394219815545265
14,3,1,1,16,96,633.29385,7.810188866743912
14,3,1,1,16,128,645.6832,7.502011229277821
14,3,1,1,24,24,598.6176,5.640703487294724
14,3,1,1,24,48,722.4911500000001,4.128163912940634
14,3,1,1,24,96,650.35385,4.558806633723811
14,3,1,1,24,144,744.77365,5.471461570107005
14,3,1,1,24,192,677.89465,8.614405268746683
14,3,1,1,32,32,631.53525,7.112133833882234
14,3,1,1,32,64,645.4659,4.617162775421377
14,3,1,1,32,128,665.4503,8.62085741309078
14,3,1,1,32,192,689.4316,8.489755135021957
14,3,1,1,32,256,720.5427,17.425573992207397
14,3,1,1,40,40,695.19385,5.905741446164685
14,3,1,1,40,80,736.55915,7.889290310788075
14,3,1,1,40,160,669.2636,9.448007578320409
14,3,1,1,40,240,760.79895,27.583974251794874
14,3,1,1,40,320,679.2815,29.835740151174733
14,3,1,1,48,48,724.37395,4.760039943165005
14,3,1,1,48,96,645.26525,8.22631357531876
14,3,1,1,48,192,667.44805,28.473150981000384
14,3,1,1,48,288,682.38595,5.036693134806859
14,3,1,1,48,384,695.2385,13.956479391307829
14,3,1,1,56,56,753.4633,7.086964349757711
14,3,1,1,56,112,743.13895,21.411191371447245
14,3,1,1,56,224,672.67585,36.13832861057341
14,3,1,1,56,336,793.51365,19.77416450899878
14,3,1,1,56,448,723.42915,5.943281135915281
14,3,1,1,64,64,644.4383,3.797464889827654
14,3,1,1,64,128,671.2225,20.59955716054416
14,3,1,1,64,256,683.87555,12.364336066517659
14,3,1,1,64,384,735.12915,40.52196964646399
14,3,1,1,64,512,740.4413499999999,31.90522058795064
14,3,1,1,72,72,713.4485500000001,8.260489474951795
14,3,1,1,72,144,781.6385,33.40953812516482
14,3,1,1,72,288,715.4102,5.314086103535537
14,3,1,1,72,432,842.8254,8.078622155840794
14,3,1,1,72,576,791.2304,10.423275101021694
14,3,1,1,80,80,753.95695,27.118872862144517
14,3,1,1,80,160,693.18525,33.64976522616934
14,3,1,1,80,320,737.098,29.657722613706866
14,3,1,1,80,480,855.35135,301.9851416259931
14,3,1,1,80,640,829.14085,18.105123183856858
14,3,1,1,88,88,789.0572999999999,28.54859117198715
14,3,1,1,88,176,800.83715,8.317940042778787
14,3,1,1,88,352,762.17175,10.30057494499062
14,3,1,1,88,528,911.9024000000001,37.89857803942683
14,3,1,1,88,704,883.4338,44.16360145568793
14,3,1,1,96,96,679.93625,28.29003244751723
14,3,1,1,96,192,714.98465,7.081168735493199
14,3,1,1,96,384,789.24825,22.108887710066195
14,3,1,1,96,576,851.4427499999999,10.692382364020702
14,3,1,1,96,768,915.95775,40.27403963358896
14,3,1,1,104,104,759.34715,30.679156406564058
14,3,1,1,104,208,814.4789,18.22528552920509
14,3,1,1,104,416,825.21,38.22937387319915
14,3,1,1,104,624,989.5897,32.59393012284086
14,3,1,1,104,832,986.7144000000001,31.024399171246543
14,3,1,1,112,112,790.0218,7.733173949053276
14,3,1,1,112,224,736.14175,25.690866373858885
14,3,1,1,112,448,843.4463,13.790048055715651
14,3,1,1,112,672,949.2779,55.40239591617528
14,3,1,1,112,896,1035.0341,22.091499038746743
14,3,1,1,120,120,820.79285,6.906770959108114
14,3,1,1,120,240,844.80095,16.433162867794923
14,3,1,1,120,480,867.7026999999999,15.282068849678557
14,3,1,1,120,720,1077.9101,28.267263259820545
14,3,1,1,120,960,1099.32035,23.08198286947728
14,3,1,1,240,240,988.3979499999999,7.758977465694685
14,3,1,1,240,480,1134.16645,42.28466110152775
14,3,1,1,240,960,1582.6018,44.28332740743052
14,3,1,1,240,1440,2889.0593,231.4164304272597
14,3,1,1,240,1920,3595.8197,360.43231769072145
14,3,1,1,360,360,1465.2608,53.56136490301275
14,3,1,1,360,720,1951.06395,102.84045619690166
14,3,1,1,360,1440,3903.97295,425.7214074846148
14,3,1,1,360,2160,5630.41735,695.7527717901007
14,3,1,1,360,2880,8869.90665,2115.982234480896
7,3,1,1,3,3,264.6592,26.50317486562496
7,3,1,1,3,6,259.91705,4.269401590941854
7,3,1,1,3,12,277.4497,4.342942770203536
7,3,1,1,3,18,288.64825,4.527997069403457
7,3,1,1,3,24,430.16375,9.522176077452045
7,3,1,1,16,16,555.45615,80.63081319085417
7,3,1,1,16,32,575.2483,6.507112231203153
7,3,1,1,16,64,584.30455,7.712611609531083
7,3,1,1,16,96,601.9938,13.296478629994283
7,3,1,1,16,128,597.6011,5.358892854037354
7,3,1,1,24,24,559.66295,5.190254861149319
7,3,1,1,24,48,717.6023,114.02456881839568
7,3,1,1,24,96,604.3258,7.098399572031053
7,3,1,1,24,144,687.44485,6.403760172331323
7,3,1,1,24,192,725.9009,118.16388991873242
7,3,1,1,32,32,590.246,12.224391376519163
7,3,1,1,32,64,713.6541,114.29533453382952
7,3,1,1,32,128,658.7626,94.67681525250991
7,3,1,1,32,192,630.33595,49.703167103870406
7,3,1,1,32,256,670.80765,218.55772061096476
7,3,1,1,40,40,650.61515,7.472462028393955
7,3,1,1,40,80,686.41375,6.468210326585492
7,3,1,1,40,160,612.0483,10.287008480807767
7,3,1,1,40,240,704.1686,24.29353515129834
7,3,1,1,40,320,629.14295,23.53117680971355
7,3,1,1,48,48,669.90475,6.9338009465075645
7,3,1,1,48,96,618.15945,5.058670726948358
7,3,1,1,48,192,628.4878,16.58814844716739
7,3,1,1,48,288,633.53155,26.622373676200695
7,3,1,1,48,384,622.00355,14.182303830645315
7,3,1,1,56,56,702.86095,5.159446150151779
7,3,1,1,56,112,695.77845,9.402999009134763
7,3,1,1,56,224,624.3999,23.743719370992014
7,3,1,1,56,336,705.62515,5.428421000186256
7,3,1,1,56,448,630.2663,15.576054676126555
7,3,1,1,64,64,607.8979,4.493902979535025
7,3,1,1,64,128,628.7364,16.55265092268972
7,3,1,1,64,256,630.39385,12.68343576345896
7,3,1,1,64,384,633.00275,7.613384121158971
7,3,1,1,64,512,627.79725,14.989373526724998
7,3,1,1,72,72,659.5201,7.286674650563037
7,3,1,1,72,144,712.0155,20.872599430832768
7,3,1,1,72,288,633.68465,3.997683530232819
7,3,1,1,72,432,718.8359,8.073808309654897
7,3,1,1,72,576,650.9072,6.409498466297794
7,3,1,1,80,80,691.4139,13.00628290238385
7,3,1,1,80,160,632.64495,26.117775262866058
7,3,1,1,80,320,643.4709,12.115606229374695
7,3,1,1,80,480,640.0888,14.980106399734568
7,3,1,1,80,640,671.1761,20.41943196256165
7,3,1,1,88,88,730.14275,23.11089100488066
7,3,1,1,88,176,706.6102,6.315200089341659
7,3,1,1,88,352,655.70575,15.632549635043734
7,3,1,1,88,528,739.9482,18.69023799966739
7,3,1,1,88,704,684.1732,28.380435549122492
7,3,1,1,96,96,633.9739,25.995699629989424
7,3,1,1,96,192,636.15645,8.886114564307631
7,3,1,1,96,384,656.7174,7.421623885291989
7,3,1,1,96,576,679.83655,23.038827262448656
7,3,1,1,96,768,700.47155,30.090690285194082
7,3,1,1,104,104,693.5163,23.228013232891186
7,3,1,1,104,208,714.59405,10.496072490899177
7,3,1,1,104,416,672.1598,6.595973585214097
7,3,1,1,104,624,768.54245,11.524708045051911
7,3,1,1,104,832,724.00755,39.07312836541918
7,3,1,1,112,112,727.47165,27.799764831029165
7,3,1,1,112,224,638.3231,8.607480613733008
7,3,1,1,112,448,679.9472,24.564640118846064
7,3,1,1,112,672,710.20805,35.853719935425026
7,3,1,1,112,896,743.6006,37.95085922805131
7,3,1,1,120,120,739.8335500000001,7.040860140897877
7,3,1,1,120,240,743.1622,5.55284521285212
7,3,1,1,120,480,679.4794,25.22647300878896
7,3,1,1,120,720,797.88715,13.821775212647152
7,3,1,1,120,960,760.57235,52.187573527234676
7,3,1,1,240,240,832.26675,10.52576767484142
7,3,1,1,240,480,774.92315,9.387451121324844
7,3,1,1,240,960,950.25605,60.97823081401998
7,3,1,1,240,1440,1464.5022999999999,82.56554038115165
7,3,1,1,240,1920,1773.25135,191.1544827840822
7,3,1,1,360,360,1020.6583,42.95484516154886
7,3,1,1,360,720,1207.94885,67.1913194513093
7,3,1,1,360,1440,1932.5960499999999,107.11728330517711
7,3,1,1,360,2160,2824.0140499999998,244.85163797297744
7,3,1,1,360,2880,3898.11065,1163.032250328573
